ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
38, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:05 PM, (1 : 1)
38, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:06 PM, (5 : 1)
38, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 3:11:06 PM, (5 : 3)
38, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:07 PM, (7 : 3)
38, D, Allo, 5, 1, Right, 0, Ego, 12, , 4/27/2021 3:11:07 PM, (7 : 5)
38, D, Allo, 5, 1, Up, 0, Ego, 12, , 4/27/2021 3:11:08 PM, (5 : 5)
38, D, Allo, 5, 1, Right, 0, Ego, 12, , 4/27/2021 3:11:08 PM, (5 : 7)
38, D, Allo, 5, 1, Down, 0, Ego, 12, , 4/27/2021 3:11:09 PM, (11 : 7)
38, D, Allo, 5, 1, Left, 0, Ego, 12, , 4/27/2021 3:11:10 PM, (11 : 5)
38, D, Allo, 5, 1, Down, 0, Ego, 12, , 4/27/2021 3:11:10 PM, (13 : 5)
38, D, Allo, 5, 1, Left, 0, Ego, 12, , 4/27/2021 3:11:11 PM, (13 : 3)
38, D, Allo, 5, 1, NULL, 0, Ego, 12, y, 4/27/2021 3:11:18 PM, (13 : 3)
38, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:27 PM, (7 : 5)
38, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 3:11:28 PM, (7 : 3)
38, T, Allo, 5, 1, Up, 0, Ego, 0, , 4/27/2021 3:11:28 PM, (5 : 3)
38, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 3:11:29 PM, (5 : 1)
38, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:30 PM, (13 : 1)
38, T, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 3:11:31 PM, (13 : 3)
38, T, Allo, 5, 2, Down, 0, Ego, 0, , 4/27/2021 3:11:33 PM, (7 : 5)
38, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/27/2021 3:11:34 PM, (7 : 3)
38, T, Allo, 5, 2, Up, 0, Ego, 0, , 4/27/2021 3:11:34 PM, (5 : 3)
38, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/27/2021 3:11:34 PM, (5 : 1)
38, T, Allo, 5, 2, Down, 0, Ego, 0, , 4/27/2021 3:11:36 PM, (13 : 1)
38, T, Allo, 5, 2, Right, 0, Ego, 0, , 4/27/2021 3:11:36 PM, (13 : 3)
38, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:38 PM, (1 : 5)
38, D, Allo, 4, 1, Left, 0, Ego, 0, , 4/27/2021 3:11:39 PM, (1 : 1)
38, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 3:11:40 PM, (5 : 1)
38, D, Allo, 4, 1, Right, 0, Ego, 0, , 4/27/2021 3:11:40 PM, (5 : 2)
38, D, Allo, 4, 1, Down, 0, Ego, 39, , 4/27/2021 3:11:40 PM, (7 : 2)
38, D, Allo, 4, 1, Left, 0, Ego, 39, , 4/27/2021 3:11:40 PM, (7 : 1)
38, D, Allo, 4, 1, Down, 0, Ego, 39, , 4/27/2021 3:11:42 PM, (13 : 1)
38, D, Allo, 4, 1, Right, 0, Ego, 39, , 4/27/2021 3:11:42 PM, (13 : 3)
38, D, Allo, 4, 1, Up, 0, Ego, 39, , 4/27/2021 3:11:43 PM, (11 : 3)
38, D, Allo, 4, 1, Right, 0, Ego, 39, , 4/27/2021 3:11:43 PM, (11 : 5)
38, D, Allo, 4, 1, Down, 0, Ego, 39, , 4/27/2021 3:11:44 PM, (13 : 5)
38, D, Allo, 4, 1, NULL, 1, Ego, 39, y, 4/27/2021 3:11:49 PM, (13 : 5)
