ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
14, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:01 AM, (1 : 1)
14, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:02 AM, (5 : 1)
14, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:02 AM, (5 : 3)
14, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:03 AM, (7 : 3)
14, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:03 AM, (7 : 5)
14, D, Allo, 5, 1, Up, 0, Ego, 0, , 4/27/2021 10:55:04 AM, (5 : 5)
14, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:04 AM, (5 : 7)
14, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:06 AM, (11 : 7)
14, D, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:06 AM, (11 : 5)
14, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:07 AM, (13 : 5)
14, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:08 AM, (13 : 10)
14, D, Allo, 5, 1, Left, 1, Ego, 0, , 4/27/2021 10:55:09 AM, (13 : 5)
14, D, Allo, 5, 1, Left, 1, Ego, 0, , 4/27/2021 10:55:09 AM, (13 : 3)
14, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:14 AM, (7 : 5)
14, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:14 AM, (7 : 3)
14, T, Allo, 5, 1, Up, 0, Ego, 0, , 4/27/2021 10:55:15 AM, (5 : 3)
14, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:15 AM, (5 : 1)
14, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:17 AM, (13 : 1)
14, T, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:17 AM, (13 : 3)
14, T, Allo, 5, 2, Down, 0, Ego, 0, , 4/27/2021 10:55:19 AM, (7 : 5)
14, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/27/2021 10:55:20 AM, (7 : 3)
14, T, Allo, 5, 2, Up, 0, Ego, 0, , 4/27/2021 10:55:20 AM, (5 : 3)
14, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/27/2021 10:55:21 AM, (5 : 1)
14, T, Allo, 5, 2, Down, 0, Ego, 0, , 4/27/2021 10:55:23 AM, (13 : 1)
14, T, Allo, 5, 2, Right, 0, Ego, 0, , 4/27/2021 10:55:23 AM, (13 : 3)
14, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:25 AM, (1 : 3)
14, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:25 AM, (1 : 1)
14, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:26 AM, (5 : 1)
14, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:28 AM, (11 : 1)
14, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:29 AM, (11 : 7)
14, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:30 AM, (13 : 7)
14, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:32 AM, (9 : 3)
14, T, Allo, 1, 1, Up, 0, Ego, 0, , 4/27/2021 10:55:33 AM, (5 : 3)
14, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:55:33 AM, (5 : 1)
14, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:35 AM, (11 : 1)
14, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:55:36 AM, (11 : 7)
14, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:55:36 AM, (13 : 7)
14, T, Allo, 1, 2, Left, 0, Ego, 0, , 4/27/2021 10:55:39 AM, (9 : 3)
14, T, Allo, 1, 2, Up, 0, Ego, 0, , 4/27/2021 10:55:40 AM, (5 : 3)
14, T, Allo, 1, 2, Left, 0, Ego, 0, , 4/27/2021 10:55:40 AM, (5 : 1)
14, T, Allo, 1, 2, Down, 0, Ego, 0, , 4/27/2021 10:55:42 AM, (11 : 1)
14, T, Allo, 1, 2, Right, 0, Ego, 0, , 4/27/2021 10:55:43 AM, (11 : 7)
14, T, Allo, 1, 2, Down, 0, Ego, 0, , 4/27/2021 10:55:43 AM, (13 : 7)
