ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
42, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:56:56 PM, (1 : 1)
42, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:56:57 PM, (5 : 1)
42, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 3:56:59 PM, (13 : 1)
42, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 3:57:00 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 0, Ego, 32, , 4/27/2021 3:57:02 PM, (13 : 5)
42, D, Allo, 5, 1, Up, 0, Ego, 32, , 4/27/2021 3:57:10 PM, (11 : 5)
42, D, Allo, 5, 1, Up, 0, Ego, 32, , 4/27/2021 3:57:11 PM, (9 : 5)
42, D, Allo, 5, 1, Left, 1, Ego, 0, , 4/27/2021 3:57:16 PM, (9 : 3)
42, D, Allo, 5, 1, Down, 2, Ego, 0, , 4/27/2021 3:57:17 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 3, Ego, 0, , 4/27/2021 3:57:19 PM, (13 : 5)
42, D, Allo, 5, 1, Up, 4, Ego, 0, , 4/27/2021 3:57:20 PM, (11 : 5)
42, D, Allo, 5, 1, Up, 5, Ego, 2, , 4/27/2021 3:57:20 PM, (9 : 5)
42, D, Allo, 5, 1, Left, 6, Ego, 2, , 4/27/2021 3:57:23 PM, (9 : 3)
42, D, Allo, 5, 1, Down, 8, Ego, 2, , 4/27/2021 3:57:25 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 11, Ego, 0, , 4/27/2021 3:57:32 PM, (13 : 5)
42, D, Allo, 5, 1, Up, 13, Ego, 0, , 4/27/2021 3:57:34 PM, (11 : 5)
42, D, Allo, 5, 1, Up, 15, Ego, 0, , 4/27/2021 3:57:34 PM, (9 : 5)
42, D, Allo, 5, 1, Left, 17, Ego, 0, , 4/27/2021 3:57:35 PM, (9 : 3)
42, D, Allo, 5, 1, Down, 20, Ego, 35, , 4/27/2021 3:57:36 PM, (13 : 3)
42, D, Allo, 5, 1, Left, 21, Ego, 35, , 4/27/2021 3:57:40 PM, (13 : 1)
42, D, Allo, 5, 1, Right, 25, Ego, 35, , 4/27/2021 3:57:41 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 28, Ego, 35, , 4/27/2021 3:57:41 PM, (13 : 5)
42, D, Allo, 5, 1, Right, 28, Ego, 35, , 4/27/2021 3:57:42 PM, (13 : 10)
42, D, Allo, 5, 1, Left, 32, Ego, 35, , 4/27/2021 3:57:43 PM, (13 : 5)
42, D, Allo, 5, 1, Left, 37, Ego, 35, , 4/27/2021 3:57:44 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 42, Ego, 35, , 4/27/2021 3:57:44 PM, (13 : 5)
42, D, Allo, 5, 1, Left, 48, Ego, 35, , 4/27/2021 3:57:44 PM, (13 : 3)
42, D, Allo, 5, 1, Right, 54, Ego, 35, , 4/27/2021 3:57:45 PM, (13 : 5)
42, D, Allo, 5, 1, Left, 61, Ego, 35, , 4/27/2021 3:57:45 PM, (13 : 3)
