ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
17, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 10:41:30 AM, (1 : 1)
17, D, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 10:41:31 AM, (1 : 3)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:32 AM, (3 : 3)
17, D, Allo, 2, 1, Right, 0, Ego, 29, , 4/27/2021 10:41:32 AM, (3 : 5)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:33 AM, (5 : 5)
17, D, Allo, 2, 1, Left, 0, Ego, 29, , 4/27/2021 10:41:34 AM, (5 : 1)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:34 AM, (7 : 1)
17, D, Allo, 2, 1, Right, 0, Ego, 29, , 4/27/2021 10:41:35 AM, (7 : 5)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:36 AM, (8 : 5)
17, D, Allo, 2, 1, Right, 0, Ego, 29, , 4/27/2021 10:41:36 AM, (8 : 7)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:37 AM, (9 : 7)
17, D, Allo, 2, 1, Right, 0, Ego, 29, , 4/27/2021 10:41:37 AM, (9 : 9)
17, D, Allo, 2, 1, Up, 0, Ego, 29, , 4/27/2021 10:41:38 AM, (3 : 9)
17, D, Allo, 2, 1, Right, 0, Ego, 29, , 4/27/2021 10:41:39 AM, (3 : 11)
17, D, Allo, 2, 1, Down, 0, Ego, 29, , 4/27/2021 10:41:41 AM, (11 : 11)
17, D, Allo, 2, 1, NULL, 0, Ego, 29, y, 4/27/2021 10:41:41 AM, (11 : 11)
17, D, Allo, 2, 1, Left, 0, Ego, 29, , 4/27/2021 10:41:42 AM, (11 : 9)
17, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 10:41:42 AM, (13 : 9)
