ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:47 AM, (1 : 11)
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:48 AM, (5 : 11)
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:49 AM, (7 : 11)
50, D, Allo, 3, 1, Right, 0, Ego, 44, , 4/28/2021 10:52:49 AM, (7 : 13)
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:50 AM, (9 : 13)
50, D, Allo, 3, 1, Left, 0, Ego, 44, , 4/28/2021 10:52:51 AM, (9 : 8)
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:51 AM, (11 : 8)
50, D, Allo, 3, 1, Left, 0, Ego, 44, , 4/28/2021 10:52:52 AM, (11 : 7)
50, D, Allo, 3, 1, Down, 0, Ego, 44, , 4/28/2021 10:52:53 AM, (13 : 7)
50, D, Allo, 3, 1, Left, 0, Ego, 44, , 4/28/2021 10:52:54 AM, (13 : 5)
50, D, Allo, 3, 1, NULL, 1, Ego, 44, n, 4/28/2021 10:52:56 AM, (13 : 5)
