ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
15, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:10 AM, (1 : 5)
15, D, Allo, 4, 1, Left, 0, Ego, 0, , 4/27/2021 10:59:11 AM, (1 : 1)
15, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:12 AM, (5 : 1)
15, D, Allo, 4, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:12 AM, (5 : 2)
15, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:13 AM, (7 : 2)
15, D, Allo, 4, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:13 AM, (7 : 3)
15, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:13 AM, (9 : 3)
15, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/27/2021 10:59:14 AM, (7 : 3)
15, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:15 AM, (7 : 7)
15, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/27/2021 10:59:16 AM, (5 : 7)
15, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:16 AM, (5 : 9)
15, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:17 AM, (7 : 9)
15, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:17 AM, (7 : 11)
15, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:18 AM, (9 : 11)
15, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/27/2021 10:59:18 AM, (9 : 9)
15, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/27/2021 10:59:19 AM, (9 : 7)
15, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/27/2021 10:59:20 AM, (9 : 5)
15, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:20 AM, (11 : 5)
15, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:21 AM, (13 : 5)
15, T, Allo, 4, 1, Left, 0, Ego, 0, , 4/27/2021 10:59:24 AM, (7 : 3)
15, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:25 AM, (9 : 3)
15, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/27/2021 10:59:25 AM, (7 : 3)
15, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/27/2021 10:59:26 AM, (7 : 2)
15, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/27/2021 10:59:26 AM, (7 : 1)
15, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:27 AM, (13 : 1)
15, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:28 AM, (13 : 3)
15, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/27/2021 10:59:29 AM, (11 : 3)
15, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:29 AM, (11 : 5)
15, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/27/2021 10:59:29 AM, (13 : 5)
15, T, Allo, 4, 2, Left, 0, Ego, 0, , 4/27/2021 10:59:32 AM, (7 : 3)
15, T, Allo, 4, 2, Left, 0, Ego, 0, , 4/27/2021 10:59:32 AM, (7 : 2)
15, T, Allo, 4, 2, Left, 0, Ego, 0, , 4/27/2021 10:59:32 AM, (7 : 1)
15, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/27/2021 10:59:34 AM, (13 : 1)
15, T, Allo, 4, 2, Right, 0, Ego, 0, , 4/27/2021 10:59:34 AM, (13 : 3)
15, T, Allo, 4, 2, Up, 0, Ego, 0, , 4/27/2021 10:59:35 AM, (11 : 3)
15, T, Allo, 4, 2, Right, 0, Ego, 0, , 4/27/2021 10:59:35 AM, (11 : 5)
15, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/27/2021 10:59:36 AM, (13 : 5)
15, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:37 AM, (1 : 3)
15, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:59:38 AM, (1 : 1)
15, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:38 AM, (5 : 1)
15, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:40 AM, (11 : 1)
15, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:41 AM, (11 : 7)
15, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:42 AM, (13 : 7)
15, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:44 AM, (9 : 5)
15, T, Allo, 1, 1, Up, 0, Ego, 0, , 4/27/2021 10:59:44 AM, (5 : 5)
15, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:45 AM, (5 : 7)
15, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:45 AM, (7 : 7)
15, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:46 AM, (7 : 9)
15, T, Allo, 1, 1, Up, 0, Ego, 0, , 4/27/2021 10:59:47 AM, (1 : 9)
15, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 10:59:48 AM, (1 : 11)
15, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:48 AM, (3 : 11)
15, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:49 AM, (9 : 11)
15, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:59:50 AM, (9 : 10)
15, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 10:59:50 AM, (11 : 10)
15, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 10:59:51 AM, (11 : 9)
15, T, Allo, 1, 1, Right, 1, Ego, 0, , 4/27/2021 10:59:51 AM, (11 : 10)
15, T, Allo, 1, 1, Up, 2, Ego, 0, , 4/27/2021 10:59:52 AM, (9 : 10)
15, T, Allo, 1, 1, Left, 2, Ego, 0, , 4/27/2021 10:59:53 AM, (9 : 7)
15, T, Allo, 1, 1, Down, 2, Ego, 0, , 4/27/2021 10:59:53 AM, (11 : 7)
15, T, Allo, 1, 1, Down, 2, Ego, 0, , 4/27/2021 10:59:54 AM, (13 : 7)
15, T, Allo, 1, 2, Right, 0, Ego, 0, , 4/27/2021 10:59:56 AM, (9 : 5)
15, T, Allo, 1, 2, Up, 0, Ego, 0, , 4/27/2021 10:59:57 AM, (5 : 5)
15, T, Allo, 1, 2, Right, 0, Ego, 0, , 4/27/2021 10:59:57 AM, (5 : 7)
15, T, Allo, 1, 2, Down, 0, Ego, 0, , 4/27/2021 10:59:57 AM, (7 : 7)
15, T, Allo, 1, 2, Up, 1, Ego, 0, , 4/27/2021 10:59:58 AM, (5 : 7)
15, T, Allo, 1, 2, Down, 2, Ego, 0, , 4/27/2021 10:59:59 AM, (7 : 7)
15, T, Allo, 1, 2, Right, 2, Ego, 0, , 4/27/2021 10:59:59 AM, (7 : 9)
15, T, Allo, 1, 2, Up, 2, Ego, 0, , 4/27/2021 11:00:00 AM, (1 : 9)
15, T, Allo, 1, 2, Right, 2, Ego, 0, , 4/27/2021 11:00:01 AM, (1 : 11)
15, T, Allo, 1, 2, Down, 2, Ego, 0, , 4/27/2021 11:00:01 AM, (3 : 11)
15, T, Allo, 1, 2, Down, 2, Ego, 0, , 4/27/2021 11:00:03 AM, (9 : 11)
15, T, Allo, 1, 2, Left, 2, Ego, 0, , 4/27/2021 11:00:03 AM, (9 : 10)
15, T, Allo, 1, 2, Down, 2, Ego, 0, , 4/27/2021 11:00:03 AM, (11 : 10)
15, T, Allo, 1, 2, Left, 2, Ego, 0, , 4/27/2021 11:00:04 AM, (11 : 9)
15, T, Allo, 1, 2, Right, 3, Ego, 0, , 4/27/2021 11:00:04 AM, (11 : 10)
15, T, Allo, 1, 2, Up, 4, Ego, 0, , 4/27/2021 11:00:04 AM, (9 : 10)
15, T, Allo, 1, 2, Left, 4, Ego, 0, , 4/27/2021 11:00:05 AM, (9 : 7)
15, T, Allo, 1, 2, Down, 4, Ego, 0, , 4/27/2021 11:00:06 AM, (11 : 7)
15, T, Allo, 1, 2, Down, 4, Ego, 0, , 4/27/2021 11:00:06 AM, (13 : 7)
