ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:05 PM, (1 : 3)
62, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:44:06 PM, (1 : 7)
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:06 PM, (3 : 7)
62, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/30/2021 3:44:07 PM, (3 : 3)
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:08 PM, (6 : 3)
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:08 PM, (9 : 3)
62, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:44:09 PM, (9 : 5)
62, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:44:10 PM, (9 : 7)
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:10 PM, (12 : 7)
62, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:44:11 PM, (13 : 7)
62, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:44:12 PM, (13 : 9)
62, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:44:13 PM, (13 : 13)
62, D, Allo, 1, 1, Up, 0, Ego, 0, , 4/30/2021 3:44:13 PM, (11 : 13)
62, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/30/2021 3:44:14 PM, (11 : 9)
62, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/30/2021 3:44:15 PM, (13 : 9)
62, D, Allo, 1, 1, Left, 2, Ego, 0, , 4/30/2021 3:44:15 PM, (13 : 7)
62, D, Allo, 1, 1, Up, 3, Ego, 0, , 4/30/2021 3:44:15 PM, (12 : 7)
62, D, Allo, 1, 1, Left, 3, Ego, 0, , 4/30/2021 3:44:16 PM, (12 : 5)
62, D, Allo, 1, 1, Down, 3, Ego, 0, , 4/30/2021 3:44:16 PM, (13 : 5)
62, D, Allo, 1, 1, Left, 3, Ego, 0, , 4/30/2021 3:44:17 PM, (13 : 1)
62, D, Allo, 1, 1, Right, 4, Ego, 0, , 4/30/2021 3:44:18 PM, (13 : 5)
62, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:44:18 PM, (12 : 5)
62, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:44:19 PM, (11 : 5)
62, D, Allo, 1, 1, Left, 5, Ego, 0, , 4/30/2021 3:44:19 PM, (11 : 1)
62, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:44:21 PM, (6 : 1)
62, D, Allo, 1, 1, Right, 6, Ego, 0, , 4/30/2021 3:44:21 PM, (6 : 3)
62, D, Allo, 1, 1, Up, 7, Ego, 0, , 4/30/2021 3:44:22 PM, (3 : 3)
62, D, Allo, 1, 1, Right, 8, Ego, 0, , 4/30/2021 3:44:23 PM, (3 : 7)
62, D, Allo, 1, 1, Up, 9, Ego, 0, , 4/30/2021 3:44:24 PM, (1 : 7)
62, D, Allo, 1, 1, Left, 10, Ego, 0, , 4/30/2021 3:44:24 PM, (1 : 3)
62, D, Allo, 1, 1, Left, 10, Ego, 0, , 4/30/2021 3:44:25 PM, (1 : 1)
62, D, Allo, 1, 1, Right, 12, Ego, 0, , 4/30/2021 3:44:26 PM, (1 : 3)
62, D, Allo, 1, 1, Right, 14, Ego, 0, , 4/30/2021 3:44:27 PM, (1 : 7)
62, D, Allo, 1, 1, Down, 16, Ego, 0, , 4/30/2021 3:44:28 PM, (3 : 7)
62, D, Allo, 1, 1, Left, 18, Ego, 0, , 4/30/2021 3:44:29 PM, (3 : 3)
62, D, Allo, 1, 1, Down, 20, Ego, 0, , 4/30/2021 3:44:29 PM, (6 : 3)
62, D, Allo, 1, 1, Down, 21, Ego, 0, , 4/30/2021 3:44:30 PM, (9 : 3)
62, D, Allo, 1, 1, Right, 22, Ego, 0, , 4/30/2021 3:44:31 PM, (9 : 5)
62, D, Allo, 1, 1, Up, 22, Ego, 0, , 4/30/2021 3:44:32 PM, (5 : 5)
62, D, Allo, 1, 1, Right, 22, Ego, 0, , 4/30/2021 3:44:32 PM, (5 : 7)
62, D, Allo, 1, 1, Down, 22, Ego, 0, , 4/30/2021 3:44:33 PM, (7 : 7)
62, D, Allo, 1, 1, Right, 22, Ego, 0, , 4/30/2021 3:44:33 PM, (7 : 9)
62, D, Allo, 1, 1, Up, 22, Ego, 0, , 4/30/2021 3:44:34 PM, (1 : 9)
62, D, Allo, 1, 1, Right, 22, Ego, 0, , 4/30/2021 3:44:35 PM, (1 : 11)
62, D, Allo, 1, 1, Down, 22, Ego, 0, , 4/30/2021 3:44:35 PM, (3 : 11)
62, D, Allo, 1, 1, Right, 22, Ego, 0, , 4/30/2021 3:44:36 PM, (3 : 13)
62, D, Allo, 1, 1, Down, 22, Ego, 0, , 4/30/2021 3:44:36 PM, (7 : 13)
