ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
60, D, Ego, 5, 1, Forward, 0, Ego, 32, , 4/28/2021 1:49:18 PM, (1 : 1)
60, D, Ego, 5, 1, Forward, 0, Ego, 32, , 4/28/2021 1:49:19 PM, (5 : 1)
60, D, Ego, 5, 1, Forward, 0, Ego, 32, , 4/28/2021 1:49:21 PM, (13 : 1)
60, D, Ego, 5, 1, Rotate Left, 0, Ego, 32, , 4/28/2021 1:49:21 PM, (13 : 1)
60, D, Ego, 5, 1, Forward, 0, Ego, 32, , 4/28/2021 1:49:22 PM, (13 : 3)
60, D, Ego, 5, 1, Rotate Right, 0, Ego, 32, , 4/28/2021 1:49:22 PM, (13 : 3)
60, T, Ego, 5, 1, Forward, 0, Ego, 0, , 4/28/2021 1:49:26 PM, (3 : 11)
60, T, Ego, 5, 1, Rotate Right, 0, Ego, 0, , 4/28/2021 1:49:26 PM, (3 : 11)
60, T, Ego, 5, 1, Forward, 0, Ego, 0, , 4/28/2021 1:49:27 PM, (3 : 13)
60, T, Ego, 5, 1, Rotate Right, 0, Ego, 0, , 4/28/2021 1:49:27 PM, (3 : 13)
60, T, Ego, 5, 1, Forward, 0, Ego, 0, , 4/28/2021 1:49:27 PM, (5 : 13)
60, T, Ego, 5, 1, Rotate Right, 0, Ego, 0, , 4/28/2021 1:49:27 PM, (5 : 13)
60, T, Ego, 5, 1, Rotate Right, 0, Ego, 0, , 4/28/2021 1:49:28 PM, (5 : 13)
60, T, Ego, 5, 1, Forward, 1, Ego, 0, , 4/28/2021 1:49:28 PM, (3 : 13)
60, T, Ego, 5, 1, Rotate Left, 1, Ego, 0, , 4/28/2021 1:49:29 PM, (3 : 13)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:29 PM, (3 : 11)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:30 PM, (3 : 9)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:30 PM, (3 : 9)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:31 PM, (1 : 9)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:31 PM, (1 : 9)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:32 PM, (1 : 4)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:32 PM, (1 : 4)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:33 PM, (3 : 4)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:33 PM, (3 : 4)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:33 PM, (3 : 3)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:34 PM, (3 : 3)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:34 PM, (5 : 3)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:35 PM, (7 : 3)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:35 PM, (7 : 3)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:36 PM, (7 : 5)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:36 PM, (7 : 5)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:36 PM, (5 : 5)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:36 PM, (5 : 5)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:37 PM, (5 : 7)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:37 PM, (5 : 7)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:39 PM, (11 : 7)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:39 PM, (11 : 7)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:40 PM, (11 : 5)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:40 PM, (11 : 5)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:41 PM, (13 : 5)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:41 PM, (13 : 5)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:41 PM, (13 : 5)
60, T, Ego, 5, 1, Rotate Right, 2, Ego, 0, , 4/28/2021 1:49:41 PM, (13 : 5)
60, T, Ego, 5, 1, Forward, 2, Ego, 0, , 4/28/2021 1:49:42 PM, (13 : 3)
60, T, Ego, 5, 1, Rotate Left, 2, Ego, 0, , 4/28/2021 1:49:42 PM, (13 : 3)
60, D, Allo, 5, 1, Down, 0, Ego, 35, , 4/30/2021 3:36:37 PM, (4 : 1)
60, D, Allo, 5, 1, Down, 0, Ego, 35, , 4/30/2021 3:36:38 PM, (9 : 1)
60, D, Allo, 5, 1, Right, 0, Ego, 35, , 4/30/2021 3:36:39 PM, (9 : 3)
60, D, Allo, 5, 1, Right, 0, Ego, 35, , 4/30/2021 3:36:40 PM, (9 : 5)
60, D, Allo, 5, 1, Down, 0, Ego, 35, , 4/30/2021 3:36:40 PM, (12 : 5)
60, D, Allo, 5, 1, Right, 0, Ego, 35, , 4/30/2021 3:36:41 PM, (12 : 6)
60, D, Allo, 5, 1, Down, 0, Ego, 35, , 4/30/2021 3:36:41 PM, (14 : 6)
60, D, Allo, 5, 1, Right, 0, Ego, 35, , 4/30/2021 3:36:43 PM, (14 : 13)
60, D, Allo, 5, 1, Up, 0, Ego, 35, , 4/30/2021 3:36:44 PM, (10 : 13)
60, D, Allo, 5, 1, Up, 0, Ego, 35, , 4/30/2021 3:36:45 PM, (9 : 13)
60, D, Allo, 5, 1, Up, 0, Ego, 35, , 4/30/2021 3:36:46 PM, (7 : 13)
60, D, Allo, 5, 1, NULL, 1, Ego, 35, n, 4/30/2021 3:36:47 PM, (7 : 13)
60, D, Allo, 5, 1, Up, 1, Ego, 35, , 4/30/2021 3:36:49 PM, (3 : 13)
60, D, Allo, 5, 1, Left, 1, Ego, 0, , 4/30/2021 3:36:49 PM, (3 : 11)
60, D, Allo, 5, 1, Down, 1, Ego, 0, , 4/30/2021 3:36:50 PM, (5 : 11)
60, D, Allo, 5, 1, Up, 2, Ego, 0, , 4/30/2021 3:36:50 PM, (3 : 11)
60, D, Allo, 5, 1, Left, 2, Ego, 0, , 4/30/2021 3:36:51 PM, (3 : 9)
60, D, Allo, 5, 1, Up, 2, Ego, 0, , 4/30/2021 3:36:51 PM, (1 : 9)
60, D, Allo, 5, 1, Right, 2, Ego, 0, , 4/30/2021 3:36:52 PM, (1 : 13)
60, D, Allo, 5, 1, Left, 3, Ego, 0, , 4/30/2021 3:36:53 PM, (1 : 9)
60, D, Allo, 5, 1, Down, 4, Ego, 5, , 4/30/2021 3:36:54 PM, (3 : 9)
60, D, Allo, 5, 1, Up, 6, Ego, 5, , 4/30/2021 3:36:54 PM, (1 : 9)
60, D, Allo, 5, 1, Left, 6, Ego, 5, , 4/30/2021 3:36:56 PM, (1 : 1)
60, D, Allo, 5, 1, Down, 7, Ego, 5, , 4/30/2021 3:36:57 PM, (4 : 1)
60, D, Allo, 5, 1, Down, 8, Ego, 5, , 4/30/2021 3:36:58 PM, (9 : 1)
60, D, Allo, 5, 1, Right, 9, Ego, 5, , 4/30/2021 3:36:58 PM, (9 : 3)
60, D, Allo, 5, 1, Right, 10, Ego, 5, , 4/30/2021 3:36:59 PM, (9 : 5)
60, D, Allo, 5, 1, Left, 12, Ego, 5, , 4/30/2021 3:37:00 PM, (9 : 3)
60, D, Allo, 5, 1, Left, 14, Ego, 5, , 4/30/2021 3:37:00 PM, (9 : 1)
60, D, Allo, 5, 1, Down, 14, Ego, 5, , 4/30/2021 3:37:01 PM, (14 : 1)
60, D, Allo, 5, 1, Up, 17, Ego, 5, , 4/30/2021 3:37:02 PM, (9 : 1)
60, D, Allo, 5, 1, Right, 20, Ego, 5, , 4/30/2021 3:37:03 PM, (9 : 3)
60, D, Allo, 5, 1, NULL, 20, Ego, 5, y, 4/30/2021 3:37:04 PM, (9 : 3)
60, D, Allo, 5, 1, Right, 22, Ego, 5, , 4/30/2021 3:37:04 PM, (9 : 5)
60, D, Allo, 5, 1, Down, 23, Ego, 0, , 4/30/2021 3:37:05 PM, (12 : 5)
60, D, Allo, 5, 1, Right, 24, Ego, 0, , 4/30/2021 3:37:05 PM, (12 : 6)
60, D, Allo, 5, 1, Down, 25, Ego, 0, , 4/30/2021 3:37:06 PM, (14 : 6)
