ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:36 PM, (1 : 1)
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:37 PM, (5 : 1)
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:37 PM, (7 : 1)
67, D, Allo, 2, 1, Right, 0, Ego, 25, , 4/28/2021 2:35:38 PM, (7 : 5)
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:39 PM, (8 : 5)
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:39 PM, (11 : 5)
67, D, Allo, 2, 1, Right, 0, Ego, 25, , 4/28/2021 2:35:40 PM, (11 : 7)
67, D, Allo, 2, 1, Down, 0, Ego, 25, , 4/28/2021 2:35:40 PM, (13 : 7)
67, D, Allo, 2, 1, Left, 0, Ego, 25, , 4/28/2021 2:35:41 PM, (13 : 3)
67, D, Allo, 2, 1, Left, 0, Ego, 25, , 4/28/2021 2:35:42 PM, (13 : 1)
67, D, Allo, 2, 1, Right, 1, Ego, 25, , 4/28/2021 2:35:42 PM, (13 : 3)
67, D, Allo, 2, 1, Up, 1, Ego, 25, , 4/28/2021 2:35:43 PM, (11 : 3)
67, D, Allo, 2, 1, Left, 1, Ego, 25, , 4/28/2021 2:35:43 PM, (11 : 1)
67, D, Allo, 2, 1, Up, 1, Ego, 25, , 4/28/2021 2:35:44 PM, (9 : 1)
67, D, Allo, 2, 1, Right, 1, Ego, 25, , 4/28/2021 2:35:44 PM, (9 : 3)
67, D, Allo, 2, 1, Left, 2, Ego, 25, , 4/28/2021 2:35:45 PM, (9 : 1)
67, D, Allo, 2, 1, Down, 3, Ego, 25, , 4/28/2021 2:35:45 PM, (11 : 1)
67, D, Allo, 2, 1, Right, 4, Ego, 25, , 4/28/2021 2:35:46 PM, (11 : 3)
67, D, Allo, 2, 1, Down, 6, Ego, 25, , 4/28/2021 2:35:47 PM, (13 : 3)
67, D, Allo, 2, 1, NULL, 6, Ego, 25, n, 4/28/2021 2:35:47 PM, (13 : 3)
67, D, Allo, 2, 1, Right, 7, Ego, 0, , 4/28/2021 2:35:48 PM, (13 : 7)
67, D, Allo, 2, 1, Up, 8, Ego, 0, , 4/28/2021 2:35:48 PM, (11 : 7)
67, D, Allo, 2, 1, Right, 8, Ego, 0, , 4/28/2021 2:35:49 PM, (11 : 9)
67, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 2:35:52 PM, (7 : 5)
67, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 2:35:52 PM, (8 : 5)
67, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 2:35:53 PM, (8 : 7)
67, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 2:35:53 PM, (9 : 7)
67, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 2:35:54 PM, (9 : 9)
67, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/28/2021 2:35:55 PM, (3 : 9)
67, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 2:35:55 PM, (3 : 11)
67, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 2:35:57 PM, (11 : 11)
67, T, Allo, 2, 1, Left, 0, Ego, 0, , 4/28/2021 2:35:58 PM, (11 : 9)
67, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 2:36:00 PM, (7 : 5)
67, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/28/2021 2:36:01 PM, (8 : 5)
67, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/28/2021 2:36:02 PM, (11 : 5)
67, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 2:36:02 PM, (11 : 7)
67, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 2:36:03 PM, (11 : 9)
67, D, Allo, 1, 1, Down, 0, Ego, 30, , 4/28/2021 2:36:05 PM, (1 : 3)
67, D, Allo, 1, 1, Left, 0, Ego, 30, , 4/28/2021 2:36:06 PM, (1 : 1)
67, D, Allo, 1, 1, Down, 0, Ego, 30, , 4/28/2021 2:36:07 PM, (5 : 1)
67, D, Allo, 1, 1, Down, 0, Ego, 30, , 4/28/2021 2:36:08 PM, (11 : 1)
67, D, Allo, 1, 1, Right, 0, Ego, 30, , 4/28/2021 2:36:09 PM, (11 : 7)
67, D, Allo, 1, 1, Up, 0, Ego, 30, , 4/28/2021 2:36:12 PM, (9 : 7)
67, D, Allo, 1, 1, Right, 0, Ego, 30, , 4/28/2021 2:36:13 PM, (9 : 10)
67, D, Allo, 1, 1, Down, 0, Ego, 30, , 4/28/2021 2:36:14 PM, (11 : 10)
67, D, Allo, 1, 1, NULL, 1, Ego, 30, y, 4/28/2021 2:36:16 PM, (11 : 10)
67, D, Allo, 1, 1, Left, 1, Ego, 0, , 4/28/2021 2:36:17 PM, (11 : 9)
67, D, Allo, 1, 1, Right, 2, Ego, 0, , 4/28/2021 2:36:18 PM, (11 : 10)
67, D, Allo, 1, 1, Right, 2, Ego, 0, , 4/28/2021 2:36:19 PM, (11 : 13)
67, D, Allo, 1, 1, Down, 2, Ego, 0, , 4/28/2021 2:36:19 PM, (13 : 13)
67, D, Allo, 1, 1, Left, 2, Ego, 0, , 4/28/2021 2:36:21 PM, (13 : 7)
