ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:49 PM, (1 : 11)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:50 PM, (5 : 11)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:50 PM, (7 : 11)
2, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:10:50 PM, (7 : 11)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:51 PM, (7 : 13)
2, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:10:51 PM, (7 : 13)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:52 PM, (9 : 13)
2, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:10:52 PM, (9 : 13)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:53 PM, (9 : 8)
2, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:10:53 PM, (9 : 8)
2, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:10:54 PM, (9 : 8)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:55 PM, (9 : 5)
2, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:10:55 PM, (9 : 5)
2, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:10:56 PM, (13 : 5)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:04 PM, (5 : 3)
2, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:04 PM, (5 : 3)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:05 PM, (5 : 5)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:06 PM, (5 : 7)
2, T, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:06 PM, (5 : 7)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:07 PM, (3 : 7)
2, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:07 PM, (3 : 7)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:08 PM, (3 : 9)
2, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:08 PM, (3 : 9)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:09 PM, (7 : 9)
2, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:09 PM, (7 : 9)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:10 PM, (7 : 5)
2, T, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:10 PM, (7 : 5)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:10 PM, (9 : 5)
2, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:11 PM, (13 : 5)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:14 PM, (5 : 3)
2, T, Ego, 3, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:14 PM, (5 : 3)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:15 PM, (5 : 5)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:16 PM, (5 : 7)
2, T, Ego, 3, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:16 PM, (5 : 7)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:17 PM, (3 : 7)
2, T, Ego, 3, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:17 PM, (3 : 7)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:17 PM, (3 : 9)
2, T, Ego, 3, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:17 PM, (3 : 9)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:18 PM, (7 : 9)
2, T, Ego, 3, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:19 PM, (7 : 9)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:20 PM, (7 : 5)
2, T, Ego, 3, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:20 PM, (7 : 5)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:20 PM, (9 : 5)
2, T, Ego, 3, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:21 PM, (13 : 5)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:23 PM, (1 : 5)
2, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:23 PM, (1 : 5)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:24 PM, (1 : 1)
2, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:24 PM, (1 : 1)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:25 PM, (5 : 1)
2, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:25 PM, (5 : 1)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:26 PM, (5 : 2)
2, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:26 PM, (5 : 2)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:26 PM, (7 : 2)
2, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:26 PM, (7 : 2)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:27 PM, (7 : 1)
2, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:27 PM, (7 : 1)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:28 PM, (13 : 1)
2, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:28 PM, (13 : 1)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:29 PM, (13 : 3)
2, D, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:29 PM, (13 : 3)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:30 PM, (11 : 3)
2, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:30 PM, (11 : 3)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:30 PM, (11 : 5)
2, D, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:30 PM, (11 : 5)
2, D, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:31 PM, (13 : 5)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:33 PM, (1 : 5)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:34 PM, (1 : 7)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:34 PM, (1 : 7)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:35 PM, (5 : 7)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:35 PM, (5 : 7)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:35 PM, (5 : 7)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:36 PM, (7 : 7)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:36 PM, (7 : 7)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:37 PM, (7 : 3)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:38 PM, (7 : 2)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:38 PM, (7 : 2)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:38 PM, (7 : 2)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:39 PM, (7 : 2)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:39 PM, (7 : 2)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:39 PM, (7 : 1)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:40 PM, (7 : 1)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:41 PM, (13 : 1)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:41 PM, (13 : 1)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:42 PM, (13 : 3)
2, T, Ego, 4, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:42 PM, (13 : 3)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:42 PM, (11 : 3)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:42 PM, (11 : 3)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:43 PM, (11 : 5)
2, T, Ego, 4, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:43 PM, (11 : 5)
2, T, Ego, 4, 1, Forward, 0, Ego, 0, , 4/14/2021 8:11:44 PM, (13 : 5)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:46 PM, (1 : 5)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:47 PM, (1 : 7)
2, T, Ego, 4, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:47 PM, (1 : 7)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:48 PM, (5 : 7)
2, T, Ego, 4, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:48 PM, (5 : 7)
2, T, Ego, 4, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:49 PM, (5 : 7)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:50 PM, (7 : 7)
2, T, Ego, 4, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:50 PM, (7 : 7)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:51 PM, (7 : 3)
2, T, Ego, 4, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:51 PM, (7 : 3)
2, T, Ego, 4, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 8:11:51 PM, (7 : 3)
2, T, Ego, 4, 2, Forward, 0, Ego, 0, , 4/14/2021 8:11:52 PM, (7 : 2)
2, T, Ego, 4, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:11:52 PM, (7 : 2)
