ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
11, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 9:17:39 PM, (1 : 5)
11, D, Allo, 4, 1, Right, 0, Ego, 0, , 4/14/2021 9:17:40 PM, (1 : 7)
11, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 9:17:41 PM, (5 : 7)
11, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 9:17:41 PM, (7 : 7)
11, D, Allo, 4, 1, Left, 0, Ego, 0, , 4/14/2021 9:17:42 PM, (7 : 3)
11, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 9:17:43 PM, (9 : 3)
11, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 9:17:43 PM, (7 : 3)
11, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 9:17:44 PM, (7 : 2)
11, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 9:17:44 PM, (7 : 1)
11, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 9:17:46 PM, (13 : 1)
11, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 9:17:46 PM, (13 : 3)
11, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 9:17:46 PM, (11 : 3)
11, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 9:17:47 PM, (11 : 5)
11, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 9:17:47 PM, (13 : 5)
11, T, Allo, 4, 1, Right, 0, Ego, 0, , 4/14/2021 9:17:49 PM, (7 : 3)
11, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 9:17:50 PM, (9 : 3)
11, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 9:17:51 PM, (7 : 3)
11, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 9:17:51 PM, (7 : 2)
11, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 9:17:51 PM, (7 : 1)
11, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 9:17:52 PM, (13 : 1)
11, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 9:17:53 PM, (13 : 3)
11, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 9:17:53 PM, (11 : 3)
11, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 9:17:54 PM, (11 : 5)
11, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 9:17:54 PM, (13 : 5)
11, T, Allo, 4, 2, Left, 0, Ego, 0, , 4/14/2021 9:17:56 PM, (7 : 1)
11, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/14/2021 9:17:57 PM, (13 : 1)
11, T, Allo, 4, 2, Right, 0, Ego, 0, , 4/14/2021 9:17:58 PM, (13 : 3)
11, T, Allo, 4, 2, Up, 0, Ego, 0, , 4/14/2021 9:17:58 PM, (11 : 3)
11, T, Allo, 4, 2, Right, 0, Ego, 0, , 4/14/2021 9:17:59 PM, (11 : 5)
11, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/14/2021 9:17:59 PM, (13 : 5)
11, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/14/2021 9:18:01 PM, (1 : 1)
11, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/14/2021 9:18:02 PM, (5 : 1)
11, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/14/2021 9:18:04 PM, (13 : 1)
11, D, Allo, 5, 1, Right, 0, Ego, 0, , 4/14/2021 9:18:04 PM, (13 : 3)
11, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/14/2021 9:18:06 PM, (3 : 4)
11, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/14/2021 9:18:07 PM, (3 : 3)
11, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/14/2021 9:18:07 PM, (5 : 3)
11, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/14/2021 9:18:08 PM, (5 : 1)
11, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/14/2021 9:18:09 PM, (13 : 1)
11, T, Allo, 5, 1, Right, 0, Ego, 0, , 4/14/2021 9:18:10 PM, (13 : 3)
11, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/14/2021 9:18:12 PM, (3 : 4)
11, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/14/2021 9:18:12 PM, (3 : 3)
11, T, Allo, 5, 2, Down, 0, Ego, 0, , 4/14/2021 9:18:13 PM, (5 : 3)
11, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/14/2021 9:18:13 PM, (5 : 1)
