ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
6, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:48:30 PM, (13 : 5)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
6, T, Allo, 4, 1, Start, 0, Ego, 0, , 4/14/2021 8:48:33 PM, (9 : 7)
