ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:03 AM, (1 : 1)
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:04 AM, (5 : 1)
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:05 AM, (7 : 1)
49, D, Allo, 2, 1, Right, 0, Ego, 41, , 4/28/2021 10:48:06 AM, (7 : 5)
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:06 AM, (8 : 5)
49, D, Allo, 2, 1, Right, 0, Ego, 41, , 4/28/2021 10:48:07 AM, (8 : 7)
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:07 AM, (9 : 7)
49, D, Allo, 2, 1, Right, 0, Ego, 41, , 4/28/2021 10:48:08 AM, (9 : 9)
49, D, Allo, 2, 1, Up, 0, Ego, 41, , 4/28/2021 10:48:09 AM, (3 : 9)
49, D, Allo, 2, 1, Right, 0, Ego, 41, , 4/28/2021 10:48:10 AM, (3 : 11)
49, D, Allo, 2, 1, Down, 0, Ego, 41, , 4/28/2021 10:48:11 AM, (11 : 11)
49, D, Allo, 2, 1, Left, 0, Ego, 41, , 4/28/2021 10:48:12 AM, (11 : 9)
49, D, Allo, 2, 1, NULL, 0, Ego, 41, y, 4/28/2021 10:48:13 AM, (11 : 9)
49, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 10:48:17 AM, (8 : 7)
49, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 10:48:17 AM, (9 : 7)
49, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 10:48:17 AM, (9 : 9)
49, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/28/2021 10:48:19 AM, (3 : 9)
49, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/28/2021 10:48:19 AM, (3 : 11)
49, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/28/2021 10:48:21 AM, (11 : 11)
49, T, Allo, 2, 1, Left, 0, Ego, 0, , 4/28/2021 10:48:22 AM, (11 : 9)
49, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 10:48:25 AM, (8 : 7)
49, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/28/2021 10:48:25 AM, (9 : 7)
49, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 10:48:26 AM, (9 : 9)
49, T, Allo, 2, 2, Up, 0, Ego, 0, , 4/28/2021 10:48:27 AM, (3 : 9)
49, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/28/2021 10:48:28 AM, (3 : 11)
49, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/28/2021 10:48:29 AM, (11 : 11)
49, T, Allo, 2, 2, Left, 0, Ego, 0, , 4/28/2021 10:48:30 AM, (11 : 9)
49, D, Allo, 5, 1, Down, 0, Ego, 40, , 4/28/2021 10:48:34 AM, (1 : 1)
49, D, Allo, 5, 1, Down, 0, Ego, 40, , 4/28/2021 10:48:36 AM, (5 : 1)
49, D, Allo, 5, 1, Right, 0, Ego, 40, , 4/28/2021 10:48:37 AM, (5 : 3)
49, D, Allo, 5, 1, Down, 0, Ego, 40, , 4/28/2021 10:48:37 AM, (7 : 3)
49, D, Allo, 5, 1, Right, 0, Ego, 40, , 4/28/2021 10:48:38 AM, (7 : 5)
49, D, Allo, 5, 1, Up, 0, Ego, 40, , 4/28/2021 10:48:38 AM, (5 : 5)
49, D, Allo, 5, 1, Right, 0, Ego, 40, , 4/28/2021 10:48:38 AM, (5 : 7)
49, D, Allo, 5, 1, Down, 0, Ego, 40, , 4/28/2021 10:48:40 AM, (11 : 7)
49, D, Allo, 5, 1, Left, 0, Ego, 40, , 4/28/2021 10:48:41 AM, (11 : 5)
49, D, Allo, 5, 1, Down, 0, Ego, 40, , 4/28/2021 10:48:41 AM, (13 : 5)
49, D, Allo, 5, 1, Left, 2, Ego, 53, , 4/28/2021 10:49:13 AM, (13 : 3)
