ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
10, D, Allo, 2, 1, Start, 0, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 1, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 3, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 6, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 10, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 15, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 21, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 28, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 36, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 45, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 55, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 66, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 78, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 91, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 105, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 120, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 136, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 153, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 171, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 190, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 210, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 231, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 253, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 276, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 300, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 325, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 351, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 378, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 406, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 435, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 465, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 496, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 528, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 561, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 595, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 630, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 666, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 703, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 741, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 780, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 820, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 861, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 903, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 946, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 990, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Start, 1035, Ego, 0, , 4/14/2021 9:13:02 PM, (0 : 1)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:02 PM, (1 : 1)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:03 PM, (5 : 1)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:04 PM, (7 : 1)
10, D, Allo, 2, 1, Right, 1035, Ego, 0, , 4/14/2021 9:13:05 PM, (7 : 5)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:05 PM, (8 : 5)
10, D, Allo, 2, 1, Right, 1035, Ego, 0, , 4/14/2021 9:13:06 PM, (8 : 7)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:07 PM, (9 : 7)
10, D, Allo, 2, 1, Right, 1035, Ego, 0, , 4/14/2021 9:13:07 PM, (9 : 9)
10, D, Allo, 2, 1, Up, 1035, Ego, 0, , 4/14/2021 9:13:08 PM, (3 : 9)
10, D, Allo, 2, 1, Right, 1035, Ego, 0, , 4/14/2021 9:13:09 PM, (3 : 11)
10, D, Allo, 2, 1, Down, 1035, Ego, 0, , 4/14/2021 9:13:10 PM, (11 : 11)
10, D, Allo, 2, 1, Left, 1035, Ego, 0, , 4/14/2021 9:13:11 PM, (11 : 9)
10, T, Allo, 2, 1, Start, 0, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 1, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 3, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 6, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 10, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 15, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 21, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 28, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 36, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 45, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 55, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 66, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 78, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 91, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 105, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
10, T, Allo, 2, 1, Start, 120, Ego, 0, , 4/14/2021 9:13:13 PM, (1 : 7)
