ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:07 PM, (1 : 3)
58, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:31:11 PM, (1 : 7)
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:11 PM, (3 : 7)
58, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/30/2021 3:31:12 PM, (3 : 3)
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:13 PM, (6 : 3)
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:14 PM, (9 : 3)
58, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:31:14 PM, (9 : 5)
58, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:31:15 PM, (9 : 7)
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:16 PM, (12 : 7)
58, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/30/2021 3:31:17 PM, (13 : 7)
58, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:31:17 PM, (13 : 9)
58, D, Allo, 1, 1, Right, 0, Ego, 0, , 4/30/2021 3:31:19 PM, (13 : 13)
58, D, Allo, 1, 1, Up, 0, Ego, 0, , 4/30/2021 3:31:19 PM, (11 : 13)
58, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/30/2021 3:31:20 PM, (11 : 9)
58, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/30/2021 3:31:20 PM, (13 : 9)
58, D, Allo, 1, 1, Left, 2, Ego, 0, , 4/30/2021 3:31:21 PM, (13 : 7)
58, D, Allo, 1, 1, Up, 3, Ego, 0, , 4/30/2021 3:31:21 PM, (12 : 7)
58, D, Allo, 1, 1, Left, 3, Ego, 0, , 4/30/2021 3:31:21 PM, (12 : 5)
58, D, Allo, 1, 1, Down, 3, Ego, 0, , 4/30/2021 3:31:22 PM, (13 : 5)
58, D, Allo, 1, 1, Left, 3, Ego, 0, , 4/30/2021 3:31:22 PM, (13 : 1)
58, D, Allo, 1, 1, Right, 4, Ego, 0, , 4/30/2021 3:31:24 PM, (13 : 5)
58, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:31:24 PM, (12 : 5)
58, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:31:24 PM, (11 : 5)
58, D, Allo, 1, 1, Left, 5, Ego, 0, , 4/30/2021 3:31:25 PM, (11 : 1)
58, D, Allo, 1, 1, Up, 5, Ego, 0, , 4/30/2021 3:31:26 PM, (6 : 1)
58, D, Allo, 1, 1, Right, 6, Ego, 0, , 4/30/2021 3:31:27 PM, (6 : 3)
58, D, Allo, 1, 1, Up, 7, Ego, 0, , 4/30/2021 3:31:28 PM, (3 : 3)
58, D, Allo, 1, 1, Right, 8, Ego, 0, , 4/30/2021 3:31:29 PM, (3 : 7)
58, D, Allo, 1, 1, Up, 9, Ego, 0, , 4/30/2021 3:31:29 PM, (1 : 7)
58, D, Allo, 1, 1, Left, 10, Ego, 0, , 4/30/2021 3:31:30 PM, (1 : 3)
58, D, Allo, 1, 1, Left, 10, Ego, 0, , 4/30/2021 3:31:30 PM, (1 : 1)
58, D, Allo, 1, 1, Right, 12, Ego, 0, , 4/30/2021 3:31:31 PM, (1 : 3)
58, D, Allo, 1, 1, Right, 14, Ego, 0, , 4/30/2021 3:31:32 PM, (1 : 7)
58, D, Allo, 1, 1, Down, 16, Ego, 0, , 4/30/2021 3:31:33 PM, (3 : 7)
58, D, Allo, 1, 1, Left, 18, Ego, 0, , 4/30/2021 3:31:33 PM, (3 : 3)
58, D, Allo, 1, 1, Down, 20, Ego, 0, , 4/30/2021 3:31:34 PM, (6 : 3)
58, D, Allo, 1, 1, Left, 21, Ego, 0, , 4/30/2021 3:31:34 PM, (6 : 1)
58, D, Allo, 1, 1, Up, 22, Ego, 0, , 4/30/2021 3:31:35 PM, (1 : 1)
58, D, Allo, 1, 1, Down, 24, Ego, 0, , 4/30/2021 3:31:37 PM, (6 : 1)
58, D, Allo, 1, 1, Right, 27, Ego, 0, , 4/30/2021 3:31:37 PM, (6 : 3)
58, D, Allo, 1, 1, Down, 28, Ego, 0, , 4/30/2021 3:31:38 PM, (9 : 3)
58, D, Allo, 1, 1, Right, 29, Ego, 0, , 4/30/2021 3:31:38 PM, (9 : 5)
