ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
43, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 4:00:43 PM, (1 : 3)
43, D, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 4:00:44 PM, (1 : 1)
43, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 4:00:45 PM, (5 : 1)
43, D, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 4:00:46 PM, (11 : 1)
43, D, Allo, 1, 1, Right, 0, Ego, 46, , 4/27/2021 4:00:48 PM, (11 : 7)
43, D, Allo, 1, 1, Up, 0, Ego, 46, , 4/27/2021 4:00:49 PM, (9 : 7)
43, D, Allo, 1, 1, Right, 0, Ego, 46, , 4/27/2021 4:00:50 PM, (9 : 10)
43, D, Allo, 1, 1, Right, 0, Ego, 46, , 4/27/2021 4:00:50 PM, (9 : 11)
43, D, Allo, 1, 1, Up, 0, Ego, 46, , 4/27/2021 4:00:52 PM, (3 : 11)
43, D, Allo, 1, 1, Right, 0, Ego, 46, , 4/27/2021 4:00:52 PM, (3 : 13)
43, D, Allo, 1, 1, Down, 0, Ego, 46, , 4/27/2021 4:00:53 PM, (5 : 13)
43, D, Allo, 1, 1, Up, 1, Ego, 46, , 4/27/2021 4:00:53 PM, (3 : 13)
43, D, Allo, 1, 1, Up, 1, Ego, 46, , 4/27/2021 4:00:54 PM, (1 : 13)
43, D, Allo, 1, 1, Down, 3, Ego, 46, , 4/27/2021 4:00:55 PM, (3 : 13)
43, D, Allo, 1, 1, Left, 4, Ego, 46, , 4/27/2021 4:00:55 PM, (3 : 11)
43, D, Allo, 1, 1, Up, 4, Ego, 46, , 4/27/2021 4:00:56 PM, (1 : 11)
43, D, Allo, 1, 1, Left, 4, Ego, 46, , 4/27/2021 4:00:56 PM, (1 : 9)
43, D, Allo, 1, 1, Down, 5, Ego, 0, , 4/27/2021 4:01:03 PM, (7 : 9)
43, D, Allo, 1, 1, Left, 5, Ego, 0, , 4/27/2021 4:01:03 PM, (7 : 7)
43, D, Allo, 1, 1, Up, 5, Ego, 18, , 4/27/2021 4:01:04 PM, (5 : 7)
43, D, Allo, 1, 1, Left, 5, Ego, 18, , 4/27/2021 4:01:04 PM, (5 : 5)
43, D, Allo, 1, 1, Down, 5, Ego, 18, , 4/27/2021 4:01:05 PM, (9 : 5)
43, D, Allo, 1, 1, Left, 5, Ego, 18, , 4/27/2021 4:01:05 PM, (9 : 3)
43, D, Allo, 1, 1, Up, 5, Ego, 18, , 4/27/2021 4:01:06 PM, (5 : 3)
43, D, Allo, 1, 1, Left, 6, Ego, 18, , 4/27/2021 4:01:07 PM, (5 : 1)
43, D, Allo, 1, 1, Down, 7, Ego, 18, , 4/27/2021 4:01:08 PM, (11 : 1)
43, D, Allo, 1, 1, Right, 8, Ego, 18, , 4/27/2021 4:01:09 PM, (11 : 7)
43, D, Allo, 1, 1, Up, 9, Ego, 18, , 4/27/2021 4:01:10 PM, (9 : 7)
43, D, Allo, 1, 1, Right, 10, Ego, 18, , 4/27/2021 4:01:10 PM, (9 : 10)
43, D, Allo, 1, 1, Down, 10, Ego, 18, , 4/27/2021 4:01:11 PM, (11 : 10)
43, D, Allo, 1, 1, Left, 10, Ego, 18, , 4/27/2021 4:01:11 PM, (11 : 9)
43, D, Allo, 1, 1, Right, 11, Ego, 18, , 4/27/2021 4:01:12 PM, (11 : 10)
43, D, Allo, 1, 1, Up, 13, Ego, 18, , 4/27/2021 4:01:12 PM, (9 : 10)
43, D, Allo, 1, 1, Left, 15, Ego, 18, , 4/27/2021 4:01:13 PM, (9 : 7)
43, D, Allo, 1, 1, NULL, 15, Ego, 18, y, 4/27/2021 4:01:14 PM, (9 : 7)
43, D, Allo, 1, 1, Down, 17, Ego, 0, , 4/27/2021 4:01:16 PM, (11 : 7)
43, D, Allo, 1, 1, Down, 17, Ego, 0, , 4/27/2021 4:01:17 PM, (13 : 7)
43, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 4:01:22 PM, (9 : 11)
43, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 4:01:22 PM, (9 : 10)
43, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 4:01:23 PM, (11 : 10)
43, T, Allo, 1, 1, Up, 1, Ego, 0, , 4/27/2021 4:01:24 PM, (9 : 10)
43, T, Allo, 1, 1, Left, 1, Ego, 0, , 4/27/2021 4:01:24 PM, (9 : 7)
43, T, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 4:01:25 PM, (11 : 7)
43, T, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 4:01:25 PM, (13 : 7)
43, T, Allo, 1, 2, Down, 0, Ego, 0, , 4/27/2021 4:01:28 PM, (9 : 11)
43, T, Allo, 1, 2, Left, 0, Ego, 0, , 4/27/2021 4:01:28 PM, (9 : 10)
43, T, Allo, 1, 2, Down, 0, Ego, 0, , 4/27/2021 4:01:29 PM, (11 : 10)
43, T, Allo, 1, 2, Up, 1, Ego, 0, , 4/27/2021 4:01:30 PM, (9 : 10)
43, T, Allo, 1, 2, Left, 1, Ego, 0, , 4/27/2021 4:01:30 PM, (9 : 7)
43, T, Allo, 1, 2, Down, 1, Ego, 0, , 4/27/2021 4:01:31 PM, (11 : 7)
43, T, Allo, 1, 2, Down, 1, Ego, 0, , 4/27/2021 4:01:31 PM, (13 : 7)
43, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 4:01:33 PM, (1 : 11)
43, D, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 4:01:34 PM, (1 : 7)
43, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 4:01:34 PM, (3 : 7)
43, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 4:01:35 PM, (5 : 7)
43, D, Allo, 3, 1, Left, 0, Ego, 58, , 4/27/2021 4:01:35 PM, (5 : 5)
43, D, Allo, 3, 1, Left, 0, Ego, 58, , 4/27/2021 4:01:37 PM, (5 : 3)
43, D, Allo, 3, 1, Down, 0, Ego, 58, , 4/27/2021 4:01:38 PM, (9 : 3)
43, D, Allo, 3, 1, Right, 0, Ego, 58, , 4/27/2021 4:01:38 PM, (9 : 5)
43, D, Allo, 3, 1, Down, 0, Ego, 58, , 4/27/2021 4:01:39 PM, (13 : 5)
43, D, Allo, 3, 1, NULL, 0, Ego, 58, y, 4/27/2021 4:01:45 PM, (13 : 5)
