ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
31, D, Allo, 1, 1, Down, 0, Ego, 8, , 4/27/2021 2:20:06 PM, (1 : 3)
31, D, Allo, 1, 1, Left, 0, Ego, 8, , 4/27/2021 2:20:07 PM, (1 : 1)
31, D, Allo, 1, 1, Down, 0, Ego, 8, , 4/27/2021 2:20:08 PM, (5 : 1)
31, D, Allo, 1, 1, Right, 0, Ego, 8, , 4/27/2021 2:20:08 PM, (5 : 3)
31, D, Allo, 1, 1, Down, 0, Ego, 8, , 4/27/2021 2:20:09 PM, (9 : 3)
31, D, Allo, 1, 1, Right, 0, Ego, 8, , 4/27/2021 2:20:09 PM, (9 : 5)
31, D, Allo, 1, 1, Up, 0, Ego, 8, , 4/27/2021 2:20:10 PM, (5 : 5)
31, D, Allo, 1, 1, Right, 1, Ego, 0, , 4/27/2021 2:20:11 PM, (5 : 7)
31, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 2:20:11 PM, (7 : 7)
31, D, Allo, 1, 1, Right, 1, Ego, 0, , 4/27/2021 2:20:12 PM, (7 : 9)
31, D, Allo, 1, 1, Up, 1, Ego, 0, , 4/27/2021 2:20:13 PM, (1 : 9)
31, D, Allo, 1, 1, Right, 1, Ego, 0, , 4/27/2021 2:20:13 PM, (1 : 11)
31, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 2:20:14 PM, (3 : 11)
31, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 2:20:15 PM, (9 : 11)
31, D, Allo, 1, 1, Left, 1, Ego, 0, , 4/27/2021 2:20:17 PM, (9 : 10)
31, D, Allo, 1, 1, Left, 1, Ego, 0, , 4/27/2021 2:20:19 PM, (9 : 7)
31, D, Allo, 1, 1, Down, 1, Ego, 0, , 4/27/2021 2:20:19 PM, (11 : 7)
31, D, Allo, 1, 1, Down, 1, Ego, 10, , 4/27/2021 2:20:29 PM, (13 : 7)
31, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 2:20:48 PM, (9 : 3)
31, T, Allo, 1, 1, Up, 0, Ego, 0, , 4/27/2021 2:20:49 PM, (5 : 3)
31, T, Allo, 1, 1, Left, 0, Ego, 0, , 4/27/2021 2:20:49 PM, (5 : 1)
31, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 2:20:51 PM, (11 : 1)
31, T, Allo, 1, 1, Right, 0, Ego, 0, , 4/27/2021 2:20:52 PM, (11 : 7)
31, T, Allo, 1, 1, Down, 0, Ego, 0, , 4/27/2021 2:20:52 PM, (13 : 7)
31, T, Allo, 1, 2, Left, 0, Ego, 0, , 4/27/2021 2:21:00 PM, (9 : 3)
31, T, Allo, 1, 2, Up, 0, Ego, 0, , 4/27/2021 2:21:01 PM, (5 : 3)
31, T, Allo, 1, 2, Left, 0, Ego, 0, , 4/27/2021 2:21:01 PM, (5 : 1)
