ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
23, D, Allo, 4, 1, Down, 0, Ego, 20, , 4/27/2021 1:37:20 PM, (1 : 5)
23, D, Allo, 4, 1, Right, 0, Ego, 20, , 4/27/2021 1:37:21 PM, (1 : 7)
23, D, Allo, 4, 1, Down, 0, Ego, 20, , 4/27/2021 1:37:22 PM, (5 : 7)
23, D, Allo, 4, 1, Down, 0, Ego, 20, , 4/27/2021 1:37:23 PM, (7 : 7)
23, D, Allo, 4, 1, Left, 0, Ego, 20, , 4/27/2021 1:37:23 PM, (7 : 3)
23, D, Allo, 4, 1, Down, 0, Ego, 20, , 4/27/2021 1:37:24 PM, (9 : 3)
23, D, Allo, 4, 1, Up, 2, Ego, 0, , 4/27/2021 1:37:25 PM, (7 : 3)
23, D, Allo, 4, 1, Left, 2, Ego, 0, , 4/27/2021 1:37:25 PM, (7 : 2)
23, D, Allo, 4, 1, Left, 2, Ego, 0, , 4/27/2021 1:37:25 PM, (7 : 1)
23, D, Allo, 4, 1, Down, 2, Ego, 0, , 4/27/2021 1:37:27 PM, (13 : 1)
23, D, Allo, 4, 1, Right, 2, Ego, 0, , 4/27/2021 1:37:27 PM, (13 : 3)
23, D, Allo, 4, 1, Up, 2, Ego, 0, , 4/27/2021 1:37:28 PM, (11 : 3)
23, D, Allo, 4, 1, Right, 2, Ego, 0, , 4/27/2021 1:37:28 PM, (11 : 5)
23, D, Allo, 4, 1, Down, 2, Ego, 0, , 4/27/2021 1:37:29 PM, (13 : 5)
23, D, Allo, 4, 1, Up, 3, Ego, 0, , 4/27/2021 1:37:29 PM, (11 : 5)
