ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
5, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:42:47 PM, (1 : 5)
5, D, Allo, 4, 1, Right, 0, Ego, 0, , 4/14/2021 8:42:48 PM, (1 : 7)
5, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:42:49 PM, (5 : 7)
5, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:42:49 PM, (7 : 7)
5, D, Allo, 4, 1, Left, 0, Ego, 0, , 4/14/2021 8:42:50 PM, (7 : 3)
5, D, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:42:51 PM, (9 : 3)
5, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 8:42:52 PM, (7 : 3)
5, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 8:42:52 PM, (7 : 2)
5, D, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 8:42:53 PM, (7 : 1)
5, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:42:54 PM, (13 : 1)
5, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 8:42:54 PM, (13 : 3)
5, D, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 8:42:55 PM, (11 : 3)
5, D, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 8:42:55 PM, (11 : 5)
5, D, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:42:56 PM, (13 : 5)
5, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:42:59 PM, (5 : 3)
5, T, Allo, 4, 1, Left, 0, Ego, 0, , 4/14/2021 8:42:59 PM, (5 : 2)
5, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:43:00 PM, (7 : 2)
5, T, Allo, 4, 1, Right, 0, Ego, 0, , 4/14/2021 8:43:00 PM, (7 : 3)
5, T, Allo, 4, 1, Down, 0, Ego, 0, , 4/14/2021 8:43:00 PM, (9 : 3)
5, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 8:43:01 PM, (7 : 3)
5, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 8:43:02 PM, (7 : 7)
5, T, Allo, 4, 1, Up, 1, Ego, 0, , 4/14/2021 8:43:03 PM, (5 : 7)
5, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 8:43:03 PM, (5 : 9)
5, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:43:04 PM, (7 : 9)
5, T, Allo, 4, 1, Right, 1, Ego, 0, , 4/14/2021 8:43:04 PM, (7 : 11)
5, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:43:05 PM, (9 : 11)
5, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 8:43:05 PM, (9 : 9)
5, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 8:43:06 PM, (9 : 7)
5, T, Allo, 4, 1, Down, 1, Ego, 0, , 4/14/2021 8:43:07 PM, (13 : 7)
5, T, Allo, 4, 1, Left, 1, Ego, 0, , 4/14/2021 8:43:07 PM, (13 : 5)
5, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/14/2021 8:43:09 PM, (5 : 3)
5, T, Allo, 4, 2, Left, 0, Ego, 0, , 4/14/2021 8:43:10 PM, (5 : 2)
5, T, Allo, 4, 2, Down, 0, Ego, 0, , 4/14/2021 8:43:10 PM, (7 : 2)
