ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
41, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:45:55 PM, (1 : 11)
41, D, Allo, 3, 1, Left, 0, Ego, 32, , 4/27/2021 3:45:56 PM, (1 : 7)
41, D, Allo, 3, 1, Down, 0, Ego, 32, , 4/27/2021 3:45:57 PM, (3 : 7)
41, D, Allo, 3, 1, Down, 0, Ego, 32, , 4/27/2021 3:45:57 PM, (5 : 7)
41, D, Allo, 3, 1, Left, 0, Ego, 32, , 4/27/2021 3:45:58 PM, (5 : 5)
41, D, Allo, 3, 1, Left, 0, Ego, 32, , 4/27/2021 3:45:58 PM, (5 : 3)
41, D, Allo, 3, 1, Down, 0, Ego, 32, , 4/27/2021 3:45:59 PM, (9 : 3)
41, D, Allo, 3, 1, Right, 0, Ego, 32, , 4/27/2021 3:46:00 PM, (9 : 5)
41, D, Allo, 3, 1, Down, 0, Ego, 32, , 4/27/2021 3:46:01 PM, (13 : 5)
41, D, Allo, 3, 1, NULL, 1, Ego, 32, y, 4/27/2021 3:46:07 PM, (13 : 5)
41, T, Allo, 3, 1, Right, 0, Ego, 0, , 4/27/2021 3:46:14 PM, (9 : 5)
41, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:46:15 PM, (13 : 5)
41, T, Allo, 3, 2, Right, 0, Ego, 0, , 4/27/2021 3:46:17 PM, (9 : 5)
41, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 3:46:17 PM, (13 : 5)
41, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 3:46:19 PM, (1 : 1)
41, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 3:46:20 PM, (5 : 1)
41, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 3:46:21 PM, (7 : 1)
41, D, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 3:46:22 PM, (7 : 5)
41, D, Allo, 2, 1, Down, 0, Ego, 38, , 4/27/2021 3:46:22 PM, (8 : 5)
41, D, Allo, 2, 1, Down, 0, Ego, 38, , 4/27/2021 3:46:24 PM, (11 : 5)
41, D, Allo, 2, 1, Right, 0, Ego, 38, , 4/27/2021 3:46:25 PM, (11 : 7)
41, D, Allo, 2, 1, Right, 1, Ego, 0, , 4/27/2021 3:46:35 PM, (11 : 9)
41, D, Allo, 2, 1, Right, 1, Ego, 0, , 4/27/2021 3:46:36 PM, (11 : 11)
41, D, Allo, 2, 1, Down, 1, Ego, 19, , 4/27/2021 3:46:36 PM, (13 : 11)
41, D, Allo, 2, 1, Up, 2, Ego, 19, , 4/27/2021 3:46:38 PM, (11 : 11)
41, D, Allo, 2, 1, Left, 3, Ego, 19, , 4/27/2021 3:46:39 PM, (11 : 9)
