ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:02 PM, (5 : 1)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:04 PM, (5 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:04 PM, (5 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:05 PM, (3 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:05 PM, (3 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (3 : 3)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (3 : 3)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (1 : 3)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (1 : 3)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:08 PM, (1 : 7)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:08 PM, (1 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:09 PM, (8 : 7)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:09 PM, (8 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:10 PM, (8 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:10 PM, (8 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:11 PM, (11 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:11 PM, (11 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:12 PM, (11 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:13 PM, (11 : 9)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:13 PM, (11 : 9)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:16 PM, (1 : 3)
1, D, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:16 PM, (1 : 3)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:17 PM, (1 : 1)
1, D, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:17 PM, (1 : 1)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:18 PM, (5 : 1)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:20 PM, (11 : 1)
1, D, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:20 PM, (11 : 1)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:21 PM, (11 : 7)
1, D, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:21 PM, (11 : 7)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:22 PM, (13 : 7)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:25 PM, (1 : 9)
1, T, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:25 PM, (1 : 9)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:26 PM, (7 : 9)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:26 PM, (7 : 9)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:27 PM, (7 : 7)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:27 PM, (7 : 7)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:27 PM, (5 : 7)
1, T, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:28 PM, (5 : 7)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:28 PM, (5 : 5)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:28 PM, (5 : 5)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:29 PM, (3 : 5)
1, T, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:29 PM, (3 : 5)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:30 PM, (3 : 3)
1, T, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:30 PM, (3 : 3)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:31 PM, (5 : 3)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:31 PM, (5 : 3)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:32 PM, (5 : 1)
1, T, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:32 PM, (5 : 1)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:32 PM, (5 : 1)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:33 PM, (5 : 1)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:34 PM, (1 : 1)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:34 PM, (1 : 1)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:34 PM, (1 : 3)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:36 PM, (1 : 7)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:36 PM, (1 : 7)
1, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:36 PM, (3 : 7)
1, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:36 PM, (3 : 7)
1, T, Ego, 1, 1, Forward, 1, Ego, 0, , 4/14/2021 7:42:37 PM, (3 : 5)
1, T, Ego, 1, 1, Rotate Left, 1, Ego, 0, , 4/14/2021 7:42:37 PM, (3 : 5)
1, T, Ego, 1, 1, Forward, 2, Ego, 0, , 4/14/2021 7:42:38 PM, (5 : 5)
1, T, Ego, 1, 1, Rotate Left, 2, Ego, 0, , 4/14/2021 7:42:39 PM, (5 : 5)
1, T, Ego, 1, 1, Forward, 3, Ego, 0, , 4/14/2021 7:42:39 PM, (5 : 7)
1, T, Ego, 1, 1, Rotate Right, 3, Ego, 0, , 4/14/2021 7:42:39 PM, (5 : 7)
1, T, Ego, 1, 1, Forward, 4, Ego, 0, , 4/14/2021 7:42:40 PM, (7 : 7)
1, T, Ego, 1, 1, Rotate Left, 4, Ego, 0, , 4/14/2021 7:42:40 PM, (7 : 7)
1, T, Ego, 1, 1, Forward, 5, Ego, 0, , 4/14/2021 7:42:41 PM, (7 : 9)
1, T, Ego, 1, 1, Rotate Left, 5, Ego, 0, , 4/14/2021 7:42:41 PM, (7 : 9)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:42 PM, (1 : 9)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:42 PM, (1 : 9)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:43 PM, (1 : 11)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:43 PM, (1 : 11)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:44 PM, (3 : 11)
1, T, Ego, 1, 1, Rotate Left, 6, Ego, 0, , 4/14/2021 7:42:44 PM, (3 : 11)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:44 PM, (3 : 11)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:45 PM, (9 : 11)
1, T, Ego, 1, 1, Rotate Right, 6, Ego, 0, , 4/14/2021 7:42:45 PM, (9 : 11)
1, T, Ego, 1, 1, Forward, 6, Ego, 0, , 4/14/2021 7:42:46 PM, (9 : 10)
