ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
3, D, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:42 PM, (1 : 1)
3, D, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:43 PM, (5 : 1)
3, D, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:45 PM, (13 : 1)
3, D, Ego, 5, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:14:45 PM, (13 : 1)
3, D, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:46 PM, (13 : 3)
3, D, Ego, 5, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:14:46 PM, (13 : 3)
3, T, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:48 PM, (9 : 3)
3, T, Ego, 5, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:14:48 PM, (9 : 3)
3, T, Ego, 5, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:49 PM, (13 : 3)
3, T, Ego, 5, 2, Forward, 0, Ego, 0, , 4/14/2021 8:14:51 PM, (9 : 3)
3, T, Ego, 5, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 8:14:51 PM, (9 : 3)
3, T, Ego, 5, 2, Forward, 0, Ego, 0, , 4/14/2021 8:14:52 PM, (13 : 3)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:56 PM, (1 : 11)
3, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:14:56 PM, (1 : 11)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:57 PM, (1 : 7)
3, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:14:57 PM, (1 : 7)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:58 PM, (3 : 7)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:14:59 PM, (5 : 7)
3, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:14:59 PM, (5 : 7)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:00 PM, (5 : 5)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:00 PM, (5 : 3)
3, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:00 PM, (5 : 3)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:02 PM, (9 : 3)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:02 PM, (11 : 3)
3, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:02 PM, (11 : 3)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:03 PM, (11 : 1)
3, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:03 PM, (11 : 1)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:03 PM, (13 : 1)
3, D, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:04 PM, (13 : 1)
3, D, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:05 PM, (13 : 5)
3, D, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:05 PM, (13 : 5)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:11 PM, (1 : 3)
3, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:12 PM, (1 : 3)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:13 PM, (1 : 7)
3, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:13 PM, (1 : 7)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:14 PM, (3 : 7)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:14 PM, (5 : 7)
3, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:15 PM, (5 : 7)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:15 PM, (5 : 5)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:16 PM, (5 : 3)
3, T, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:16 PM, (5 : 3)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:17 PM, (9 : 3)
3, T, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:17 PM, (9 : 3)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:18 PM, (9 : 5)
3, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:18 PM, (9 : 5)
3, T, Ego, 3, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 8:15:18 PM, (9 : 5)
3, T, Ego, 3, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 8:15:18 PM, (9 : 5)
3, T, Ego, 3, 1, Forward, 0, Ego, 0, , 4/14/2021 8:15:20 PM, (13 : 5)
