ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
20, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 11:49:00 AM, (1 : 1)
20, D, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 11:49:01 AM, (5 : 1)
20, D, Allo, 5, 1, Right, 1, Ego, 0, , 4/27/2021 11:49:02 AM, (5 : 3)
20, D, Allo, 5, 1, Down, 1, Ego, 0, , 4/27/2021 11:49:02 AM, (7 : 3)
20, D, Allo, 5, 1, Right, 1, Ego, 0, , 4/27/2021 11:49:03 AM, (7 : 5)
20, D, Allo, 5, 1, Up, 1, Ego, 0, , 4/27/2021 11:49:03 AM, (5 : 5)
20, D, Allo, 5, 1, Right, 1, Ego, 0, , 4/27/2021 11:49:04 AM, (5 : 7)
20, D, Allo, 5, 1, Down, 2, Ego, 0, , 4/27/2021 11:49:05 AM, (11 : 7)
20, D, Allo, 5, 1, Left, 2, Ego, 0, , 4/27/2021 11:49:06 AM, (11 : 5)
20, D, Allo, 5, 1, Down, 2, Ego, 0, , 4/27/2021 11:49:06 AM, (13 : 5)
20, D, Allo, 5, 1, Right, 3, Ego, 0, , 4/27/2021 11:49:07 AM, (13 : 10)
20, D, Allo, 5, 1, Left, 4, Ego, 0, , 4/27/2021 11:49:08 AM, (13 : 5)
20, D, Allo, 5, 1, Left, 4, Ego, 0, , 4/27/2021 11:49:10 AM, (13 : 3)
20, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 11:49:25 AM, (3 : 11)
20, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 11:49:26 AM, (5 : 11)
20, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 11:49:27 AM, (5 : 9)
20, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 11:49:28 AM, (11 : 9)
20, T, Allo, 5, 1, Right, 0, Ego, 0, , 4/27/2021 11:49:29 AM, (11 : 10)
20, T, Allo, 5, 1, Down, 0, Ego, 0, , 4/27/2021 11:49:29 AM, (13 : 10)
20, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 11:49:30 AM, (13 : 5)
20, T, Allo, 5, 1, Left, 0, Ego, 0, , 4/27/2021 11:49:31 AM, (13 : 3)
20, T, Allo, 5, 2, Left, 0, Ego, 0, , 4/27/2021 11:49:33 AM, (3 : 11)
