ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
57, D, Allo, 3, 1, Down, 0, Ego, 50, , 4/30/2021 2:58:08 PM, (1 : 11)
57, D, Allo, 3, 1, Down, 0, Ego, 50, , 4/30/2021 2:58:10 PM, (5 : 11)
57, D, Allo, 3, 1, Right, 0, Ego, 50, , 4/30/2021 2:58:10 PM, (5 : 13)
57, D, Allo, 3, 1, Up, 0, Ego, 50, , 4/30/2021 2:58:11 PM, (3 : 13)
57, D, Allo, 3, 1, Down, 1, Ego, 50, , 4/30/2021 2:58:12 PM, (5 : 13)
57, D, Allo, 3, 1, Left, 2, Ego, 50, , 4/30/2021 2:58:12 PM, (5 : 11)
57, D, Allo, 3, 1, Down, 2, Ego, 50, , 4/30/2021 2:58:12 PM, (7 : 11)
57, D, Allo, 3, 1, Down, 2, Ego, 50, , 4/30/2021 2:58:13 PM, (9 : 11)
57, D, Allo, 3, 1, Left, 2, Ego, 50, , 4/30/2021 2:58:14 PM, (9 : 5)
57, D, Allo, 3, 1, Up, 2, Ego, 50, , 4/30/2021 2:58:15 PM, (7 : 5)
57, D, Allo, 3, 1, Up, 2, Ego, 50, , 4/30/2021 2:58:16 PM, (5 : 5)
57, D, Allo, 3, 1, Left, 2, Ego, 50, , 4/30/2021 2:58:16 PM, (5 : 3)
57, D, Allo, 3, 1, Down, 2, Ego, 50, , 4/30/2021 2:58:17 PM, (7 : 3)
57, D, Allo, 3, 1, Down, 2, Ego, 50, , 4/30/2021 2:58:18 PM, (11 : 3)
57, D, Allo, 3, 1, Left, 2, Ego, 50, , 4/30/2021 2:58:18 PM, (11 : 1)
57, D, Allo, 3, 1, NULL, 3, Ego, 50, y, 4/30/2021 2:58:19 PM, (11 : 1)
57, D, Allo, 3, 1, Down, 3, Ego, 0, , 4/30/2021 2:58:20 PM, (13 : 1)
57, D, Allo, 3, 1, Right, 3, Ego, 0, , 4/30/2021 2:58:21 PM, (13 : 7)
57, D, Allo, 3, 1, Up, 3, Ego, 0, , 4/30/2021 2:58:22 PM, (11 : 7)
57, D, Allo, 3, 1, Right, 3, Ego, 0, , 4/30/2021 2:58:22 PM, (11 : 9)
57, D, Allo, 3, 1, Down, 3, Ego, 0, , 4/30/2021 2:58:23 PM, (13 : 9)
57, D, Allo, 3, 1, Right, 3, Ego, 0, , 4/30/2021 2:58:23 PM, (13 : 13)
57, D, Allo, 3, 1, Left, 4, Ego, 19, , 4/30/2021 2:58:27 PM, (13 : 9)
57, D, Allo, 3, 1, Right, 5, Ego, 19, , 4/30/2021 2:58:28 PM, (13 : 13)
57, D, Allo, 3, 1, NULL, 5, Ego, 19, n, 4/30/2021 2:58:35 PM, (13 : 13)
57, D, Allo, 3, 1, Left, 7, Ego, 15, , 4/30/2021 2:58:41 PM, (13 : 9)
57, D, Allo, 3, 1, Right, 9, Ego, 15, , 4/30/2021 2:58:42 PM, (13 : 13)
