ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
40, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:00 PM, (1 : 3)
40, D, Ego, 1, 1, Rotate Left, 0, Ego, 0, , 4/27/2021 3:41:00 PM, (1 : 3)
40, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:02 PM, (1 : 7)
40, D, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/27/2021 3:41:02 PM, (1 : 7)
40, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:02 PM, (3 : 7)
40, D, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/27/2021 3:41:02 PM, (3 : 7)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:03 PM, (3 : 5)
40, D, Ego, 1, 1, Rotate Left, 0, Ego, 8, , 4/27/2021 3:41:03 PM, (3 : 5)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:04 PM, (5 : 5)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:05 PM, (9 : 5)
40, D, Ego, 1, 1, Rotate Right, 0, Ego, 8, , 4/27/2021 3:41:05 PM, (9 : 5)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:06 PM, (9 : 3)
40, D, Ego, 1, 1, Rotate Right, 0, Ego, 8, , 4/27/2021 3:41:06 PM, (9 : 3)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:07 PM, (5 : 3)
40, D, Ego, 1, 1, Rotate Left, 0, Ego, 8, , 4/27/2021 3:41:07 PM, (5 : 3)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:07 PM, (5 : 1)
40, D, Ego, 1, 1, Rotate Left, 0, Ego, 8, , 4/27/2021 3:41:08 PM, (5 : 1)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:09 PM, (11 : 1)
40, D, Ego, 1, 1, Rotate Left, 0, Ego, 8, , 4/27/2021 3:41:09 PM, (11 : 1)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:11 PM, (11 : 7)
40, D, Ego, 1, 1, Rotate Right, 0, Ego, 8, , 4/27/2021 3:41:11 PM, (11 : 7)
40, D, Ego, 1, 1, Forward, 0, Ego, 8, , 4/27/2021 3:41:11 PM, (13 : 7)
40, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:20 PM, (1 : 1)
40, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/27/2021 3:41:20 PM, (1 : 1)
40, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:20 PM, (1 : 3)
40, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:22 PM, (1 : 7)
40, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/27/2021 3:41:22 PM, (1 : 7)
40, T, Ego, 1, 1, Forward, 0, Ego, 0, , 4/27/2021 3:41:22 PM, (3 : 7)
40, T, Ego, 1, 1, Rotate Right, 0, Ego, 0, , 4/27/2021 3:41:22 PM, (3 : 7)
